Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
2.0,2,2.0,3,1,1.0,1,1,1,1,1,1,1,0,1,85,1896.75,1.0,1.0,1.7
0.0,2,2.0,3,0,0.0,0,0,0,0,1,1,1,0,1,102,1215.0,0.0,2.0,1.55
4.0,2,2.0,4,1,0.0,1,1,0,1,1,1,0,0,2,113,1330.0,1.0,1.0,2.15
4.0,2,2.0,2,0,0.0,1,0,0,0,1,1,0,0,3,65,1224.0,2.0,2.0,1.75
0.0,2,2.0,3,0,1.0,0,0,0,0,0,0,1,0,1,36,1479.0,2.0,2.0,2.5
3.0,2,2.0,2,1,1.0,0,0,0,1,0,0,0,0,3,110,990.0,1.0,1.0,1.25
4.0,2,2.0,3,1,0.0,0,0,0,0,0,1,1,0,1,61,1552.5,1.0,2.0,1.75
2.0,2,3.0,3,0,1.0,0,1,0,0,1,1,1,0,1,104,1700.0,2.0,0.0,2.7
2.0,2,2.0,2,0,1.0,0,0,0,0,1,1,1,0,1,104,1550.0,2.0,2.0,2.29
4.0,2,2.0,2,1,2.0,1,0,0,0,0,1,1,0,1,62,1508.0,1.0,2.0,3.1
2.0,2,2.0,1,0,2.0,0,0,0,0,0,0,0,0,3,81,877.5000000000001,2.0,0.0,0.6
0.0,2,2.0,2,1,1.0,1,0,0,0,0,0,1,0,3,50,1795.0,2.0,2.0,2.5
4.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,1,1,33,1768.5000000000002,2.0,0.0,1.22
5.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,3,65,1516.0,2.0,2.0,2.69
4.0,2,2.0,2,0,1.0,0,1,0,0,1,1,1,0,4,50,1336.0,2.0,0.0,2.0
0.0,2,2.0,3,1,1.0,1,0,0,0,1,0,1,0,3,65,1261.0,2.0,2.0,2.3
