,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
31,North-East,2,2.0,3,No,Semifurnished,0,0,1,0,1,0,0,0,New Property,103,1361.0,Luxury,High Floor,1.1
32,East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,82,1300.0,Luxury,Low Floor,1.32
33,North,2,2.0,3,No,Semifurnished,0,1,0,0,1,0,0,0,Relatively New,67,1540.0,Standard,Low Floor,1.85
34,North-East,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,70,1450.0,Luxury,Low Floor,1.68
35,East,2,2.0,3,Yes,Unfurnished,0,0,0,0,1,1,1,0,Relatively New,103,1361.0,Standard,High Floor,1.1
36,North-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,70,930.0,Luxury,High Floor,1.28
37,South-East,2,2.0,1,No,Unfurnished,0,0,0,0,0,1,1,0,Relatively New,67,800.0,Budget,Low Floor,0.76
38,South,2,2.0,2,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,67,1296.0,Luxury,High Floor,1.86
39,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,0,0,0,Relatively New,67,1484.0,Luxury,High Floor,1.95
40,South-West,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,0,0,Relatively New,67,1296.0,Luxury,Mid Floor,1.82
41,North-East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,67,1484.0,Luxury,Mid Floor,1.8
42,North,2,2.0,3,No,Semifurnished,0,0,0,0,0,0,0,1,Relatively New,85,1640.0,Luxury,High Floor,1.8
43,North,2,2.0,2,No,Semifurnished,0,0,0,0,0,0,0,1,Moderately Old,83,1245.0,Luxury,High Floor,1.35
44,East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,67,1296.0,Luxury,Low Floor,1.9
45,South-East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,0,0,Relatively New,67,1484.0,Luxury,Low Floor,1.94
46,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,0,0,0,Relatively New,67,1484.0,Luxury,High Floor,1.95
47,North-East,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,107,1366.0,Standard,High Floor,1.22
48,East,2,2.0,3,No,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,107,1534.0,Standard,High Floor,1.28
49,East,2,2.0,1,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,76,870.7500000000001,Budget,Mid Floor,0.71
50,East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,New Property,83,1254.15,Luxury,Low Floor,1.2
51,East,2,2.0,1,Yes,Furnished,0,0,0,0,1,1,1,0,New Property,86,676.35,Budget,Mid Floor,0.68
52,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,0,1,1,0,Relatively New,82,1435.0,Standard,Mid Floor,1.6
53,North-East,2,2.0,3,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,70,1565.0,Standard,Low Floor,2.26
54,East,2,2.0,1,Yes,Unfurnished,0,0,0,0,1,0,0,0,Relatively New,90,690.0,Budget,Low Floor,0.64
55,South-West,2,2.0,2,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,107,778.95,Budget,High Floor,0.57
56,North-East,2,2.0,3,Yes,Semifurnished,1,0,0,0,1,1,1,0,New Property,99,1550.0,Standard,High Floor,1.45
57,South,2,2.0,2,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,107,554.0,Budget,Mid Floor,0.46
58,North,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,107,660.1500000000001,Luxury,Low Floor,0.55
59,West,2,2.0,2,Yes,Semifurnished,1,0,0,1,1,0,0,0,Relatively New,95,870.7500000000001,Budget,High Floor,0.52
60,West,2,2.0,1,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,95,741.1500000000001,Luxury,Mid Floor,0.52
61,East,2,2.0,2,Yes,Unfurnished,0,0,0,0,1,1,1,0,Relatively New,108,1510.0,Budget,Mid Floor,0.96
62,North-East,2,2.0,3,Yes,Semifurnished,0,0,1,0,1,0,0,0,New Property,103,1361.0,Luxury,High Floor,1.08
63,South,2,2.0,1,Yes,Semifurnished,1,0,0,0,0,0,0,0,Moderately Old,58,1625.0,Standard,Mid Floor,3.4
64,North-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,1,0,Relatively New,67,810.0,Luxury,High Floor,0.7
65,South,2,2.0,2,Yes,Unfurnished,0,0,0,1,1,0,0,0,Relatively New,95,693.9000000000001,Luxury,High Floor,0.54
66,East,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,65,1261.0,Budget,Mid Floor,2.26
67,South,2,2.0,3,No,Semifurnished,0,0,0,1,0,0,0,0,Relatively New,102,1458.0,Budget,High Floor,1.57
